head_event	relation	tail_event
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	snack
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	domestic chore
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	routine chore
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	light meal
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	light housekeeping task
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	making
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	food
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	food item
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	item
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	task
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	preparing food
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	dish
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	cold food
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	life skill
[PersonX makes a salad]. [PersonX makes a salad]	InstanceOf	menu item
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	activity
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	place
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	zoo
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	attendance
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	event
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	facility
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	social activity
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	themed environment
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	attraction
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	visit
[PersonX visits the zoo]. [PersonX visits the zoo]	InstanceOf	visitation
PersonX eats [the whole thing]. [the whole thing]	InstanceOf	object
PersonX eats [the whole thing]. [the whole thing]	InstanceOf	thing
PersonX eats [the whole thing]. [the whole thing]	InstanceOf	item
PersonX files [a report]. [a report]	InstanceOf	administrative requirement
PersonX files [a report]. [a report]	InstanceOf	report
PersonX files [a report]. [a report]	InstanceOf	document
PersonX files [a report]. [a report]	InstanceOf	evidence
PersonX files [a report]. [a report]	InstanceOf	information
PersonX files [a report]. [a report]	InstanceOf	documentation
PersonX files [a report]. [a report]	InstanceOf	data
PersonX files [a report]. [a report]	InstanceOf	story
PersonX files [a report]. [a report]	InstanceOf	form
[PersonX gets right back]. [PersonX gets right back]	InstanceOf	movement
[PersonX gets right back]. [PersonX gets right back]	InstanceOf	return
[PersonX brings people together]. [PersonX brings people together]	InstanceOf	bonding
[PersonX brings people together]. [PersonX brings people together]	InstanceOf	positive affective outcome
[PersonX brings people together]. [PersonX brings people together]	InstanceOf	attraction
[PersonX brings people together]. [PersonX brings people together]	InstanceOf	people
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	directing
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	activity
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	instruction
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	contribution
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	giving instruction
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	teaching
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	occupation
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	information
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	action
[PersonX gives PersonY instruction]. [PersonX gives PersonY instruction]	InstanceOf	support
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	appreciation
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	cognitive skill
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	assessment
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	sustained positive emotion
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	cognitive process
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	mental and emotional process
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	positive feeling
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	subjective statement
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	mental process
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	opinion
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	mental function
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	thinking
[PersonX thinks it was beautiful]. [PersonX thinks it was beautiful]	InstanceOf	brain function
PersonX alters [PersonX's course]. [PersonX's course]	InstanceOf	way
PersonX alters [PersonX's course]. [PersonX's course]	InstanceOf	activity
PersonX alters [PersonX's course]. [PersonX's course]	InstanceOf	course
PersonX alters [PersonX's course]. [PersonX's course]	InstanceOf	direction
PersonX alters [PersonX's course]. [PersonX's course]	InstanceOf	movement concept
PersonX unbuckles [PersonY's belt]. [PersonY's belt]	InstanceOf	belt
PersonX unbuckles [PersonY's belt]. [PersonY's belt]	InstanceOf	accessory
PersonX unbuckles [PersonY's belt]. [PersonY's belt]	InstanceOf	leather item
PersonX unbuckles [PersonY's belt]. [PersonY's belt]	InstanceOf	item
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	seeking information
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	close relative
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	person
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	questioning
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	question
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	relative
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	query
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	relationship
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	family
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	action
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	inquiry
[PersonX asks PersonY's sister]. [PersonX asks PersonY's sister]	InstanceOf	communication
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	protection
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	hiding
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	body part
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	physical entity
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	covering
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	head
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	cover
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	physical object
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	object
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	personal protective equipment
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	protective clothing
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	weather barrier
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	head covering
[PersonX covers PersonX's head]. [PersonX covers PersonX's head]	InstanceOf	action
PersonX decides [to enter]. [to enter]	InstanceOf	entry
PersonX decides [to enter]. [to enter]	InstanceOf	action
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	change
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	exit
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	family issue
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	legal case
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	stressful life event
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	annulment
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	situation
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	event
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	family law matter
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	life event
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	life transition
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	family law issue
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	action
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	life change
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	separation
[PersonX leaves PersonX's husband]. [PersonX leaves PersonX's husband]	InstanceOf	divorce
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	adventure
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	water sport
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	event
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	adrenaline sport
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	adventurous activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	rafting
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	experience
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	adventure sport
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	white water rafting
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	off site activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	outdoor recreation
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	water activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	outdoor activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	movement
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	energetic activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	recreational activity
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	extreme sport
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	action
PersonX goes [white water rafting]. [white water rafting]	InstanceOf	adventure activity
PersonX wants [to learn]. [to learn]	InstanceOf	skill
PersonX wants [to learn]. [to learn]	InstanceOf	cognitive process
PersonX wants [to learn]. [to learn]	InstanceOf	cognitive ability
PersonX wants [to learn]. [to learn]	InstanceOf	human knowledge
PersonX wants [to learn]. [to learn]	InstanceOf	information
PersonX wants [to learn]. [to learn]	InstanceOf	process
PersonX wants [to learn]. [to learn]	InstanceOf	brain function
PersonX wants [to learn]. [to learn]	InstanceOf	cognitive function
PersonX wants [to learn]. [to learn]	InstanceOf	life activity
PersonX wants [to learn]. [to learn]	InstanceOf	learning
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	meet
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	achievement
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	outcome measure
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	goal achievement
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	preferred outcome
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	meeting
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	tracking outcome measure
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	goal
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	accomplishment
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	intra individual motivation
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	positive life skill
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	work activity
[PersonX meets PersonX's goal]. [PersonX meets PersonX's goal]	InstanceOf	action
PersonX gives PersonY [relief]. [relief]	InstanceOf	help
PersonX gives PersonY [relief]. [relief]	InstanceOf	mental state
PersonX gives PersonY [relief]. [relief]	InstanceOf	condition
PersonX gives PersonY [relief]. [relief]	InstanceOf	feeling
PersonX gives PersonY [relief]. [relief]	InstanceOf	emotion
PersonX gives PersonY [relief]. [relief]	InstanceOf	relief
PersonX gives PersonY [relief]. [relief]	InstanceOf	intense feeling
PersonX gives PersonY [relief]. [relief]	InstanceOf	support
PersonX gives PersonY [relief]. [relief]	InstanceOf	comfort
PersonX gives PersonY [relief]. [relief]	InstanceOf	positive emotion
PersonX asks PersonY [to speak]. [to speak]	InstanceOf	talking
PersonX asks PersonY [to speak]. [to speak]	InstanceOf	speaking
PersonX asks PersonY [to speak]. [to speak]	InstanceOf	speech
PersonX asks PersonY [to speak]. [to speak]	InstanceOf	conversation
PersonX asks PersonY [to speak]. [to speak]	InstanceOf	communication
PersonX ordered [delivery food]. [delivery food]	InstanceOf	product
PersonX ordered [delivery food]. [delivery food]	InstanceOf	basic necessity
PersonX ordered [delivery food]. [delivery food]	InstanceOf	delivery
PersonX ordered [delivery food]. [delivery food]	InstanceOf	food delivery
PersonX ordered [delivery food]. [delivery food]	InstanceOf	goods
PersonX ordered [delivery food]. [delivery food]	InstanceOf	something
PersonX ordered [delivery food]. [delivery food]	InstanceOf	food service
PersonX ordered [delivery food]. [delivery food]	InstanceOf	takeaway food
PersonX ordered [delivery food]. [delivery food]	InstanceOf	errand service
PersonX ordered [delivery food]. [delivery food]	InstanceOf	food
PersonX ordered [delivery food]. [delivery food]	InstanceOf	supply
PersonX ordered [delivery food]. [delivery food]	InstanceOf	service
PersonX ordered [delivery food]. [delivery food]	InstanceOf	basic need
PersonX ordered [delivery food]. [delivery food]	InstanceOf	convenience food
PersonX ordered [delivery food]. [delivery food]	InstanceOf	item
PersonX takes as [PersonY's example]. [PersonY's example]	InstanceOf	way
PersonX takes as [PersonY's example]. [PersonY's example]	InstanceOf	path
PersonX takes as [PersonY's example]. [PersonY's example]	InstanceOf	method
PersonX takes as [PersonY's example]. [PersonY's example]	InstanceOf	model
PersonX takes as [PersonY's example]. [PersonY's example]	InstanceOf	advice
PersonX takes as [PersonY's example]. [PersonY's example]	InstanceOf	direction
[PersonX works last night]. [PersonX works last night]	InstanceOf	job
[PersonX works last night]. [PersonX works last night]	InstanceOf	activity
[PersonX works last night]. [PersonX works last night]	InstanceOf	workload
[PersonX works last night]. [PersonX works last night]	InstanceOf	socially acceptable behavior
[PersonX works last night]. [PersonX works last night]	InstanceOf	working
[PersonX works last night]. [PersonX works last night]	InstanceOf	task
[PersonX works last night]. [PersonX works last night]	InstanceOf	work
[PersonX works last night]. [PersonX works last night]	InstanceOf	overtime
[PersonX works last night]. [PersonX works last night]	InstanceOf	employment
[PersonX works last night]. [PersonX works last night]	InstanceOf	action
[PersonX achieves PersonX's purpose]. [PersonX achieves PersonX's purpose]	InstanceOf	motivation factor
[PersonX achieves PersonX's purpose]. [PersonX achieves PersonX's purpose]	InstanceOf	psychological motivation
[PersonX achieves PersonX's purpose]. [PersonX achieves PersonX's purpose]	InstanceOf	motivator
[PersonX achieves PersonX's purpose]. [PersonX achieves PersonX's purpose]	InstanceOf	motivational factor
[PersonX achieves PersonX's purpose]. [PersonX achieves PersonX's purpose]	InstanceOf	accomplishment
[PersonX achieves PersonX's purpose]. [PersonX achieves PersonX's purpose]	InstanceOf	achievement
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	romantic involvement
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	person
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	relationship
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	girlfriend
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	involvement
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	social interaction
[PersonX sees PersonX's girlfriend]. [PersonX sees PersonX's girlfriend]	InstanceOf	dating
PersonX has [a test] tomorrow. [a test]	InstanceOf	examination
PersonX has [a test] tomorrow. [a test]	InstanceOf	test
PersonX has [a test] tomorrow. [a test]	InstanceOf	traditional assessment method
PersonX has [a test] tomorrow. [a test]	InstanceOf	evaluation
PersonX has [a test] tomorrow. [a test]	InstanceOf	exam
PersonX has [a test] tomorrow. [a test]	InstanceOf	inspection
PersonX has [a test] tomorrow. [a test]	InstanceOf	formal assessment
PersonX has [a test] tomorrow. [a test]	InstanceOf	traditional assessment
PersonX has [a test] tomorrow. [a test]	InstanceOf	testing
PersonX has [a test] tomorrow. [a test]	InstanceOf	work
PersonX has [a test] tomorrow. [a test]	InstanceOf	trial
PersonX has [a test] tomorrow. [a test]	InstanceOf	assignment
PersonX has [a test] tomorrow. [a test]	InstanceOf	assessment
PersonX has [a test] tomorrow. [a test]	InstanceOf	summative assessment
PersonX has [a test] tomorrow. [a test]	InstanceOf	preliminary procedure
[PersonX picks last]. [PersonX picks last]	InstanceOf	choice
[PersonX picks last]. [PersonX picks last]	InstanceOf	picking
[PersonX picks last]. [PersonX picks last]	InstanceOf	pick
[PersonX picks last]. [PersonX picks last]	InstanceOf	choosing
[PersonX picks last]. [PersonX picks last]	InstanceOf	selection
[PersonX picks last]. [PersonX picks last]	InstanceOf	process
PersonX makes [a deal]. [a deal]	InstanceOf	negotiation
PersonX makes [a deal]. [a deal]	InstanceOf	agreement
PersonX makes [a deal]. [a deal]	InstanceOf	formal agreement
PersonX makes [a deal]. [a deal]	InstanceOf	contract
PersonX makes [a deal]. [a deal]	InstanceOf	deal
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	controlling
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	power
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	managing
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	commerce
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	regulation
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	action
[PersonX regulates commerce with nations]. [PersonX regulates commerce with nations]	InstanceOf	department
[PersonX stays in one place]. [PersonX stays in one place]	InstanceOf	stay
[PersonX stays in one place]. [PersonX stays in one place]	InstanceOf	place
[PersonX stays in one place]. [PersonX stays in one place]	InstanceOf	stillness
[PersonX stays in one place]. [PersonX stays in one place]	InstanceOf	immobility
[PersonX stays in one place]. [PersonX stays in one place]	InstanceOf	location
PersonX lets [PersonY see]. [PersonY see]	InstanceOf	look
PersonX lets [PersonY see]. [PersonY see]	InstanceOf	visual perception
PersonX lets [PersonY see]. [PersonY see]	InstanceOf	vision
PersonX lets [PersonY see]. [PersonY see]	InstanceOf	witness
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	animal
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	dog
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	household pet
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	rabies susceptible mammal
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	pet
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	living breathing family pet
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	companion animal
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	mammal
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	domesticated animal
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	possession
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	pet dog
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	domestic pet
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	carnivorous animal
[PersonX owns a dog]. [PersonX owns a dog]	InstanceOf	domestic animal
[PersonX nurses PersonY back]. [PersonX nurses PersonY back]	InstanceOf	nursing
[PersonX nurses PersonY back]. [PersonX nurses PersonY back]	InstanceOf	help
[PersonX nurses PersonY back]. [PersonX nurses PersonY back]	InstanceOf	caring
[PersonX nurses PersonY back]. [PersonX nurses PersonY back]	InstanceOf	healthcare
[PersonX nurses PersonY back]. [PersonX nurses PersonY back]	InstanceOf	support
[PersonX nurses PersonY back]. [PersonX nurses PersonY back]	InstanceOf	assist
PersonX eats [toast]. [toast]	InstanceOf	hard food
PersonX eats [toast]. [toast]	InstanceOf	dry food
PersonX eats [toast]. [toast]	InstanceOf	finger food
PersonX eats [toast]. [toast]	InstanceOf	toast
PersonX eats [toast]. [toast]	InstanceOf	food
PersonX eats [toast]. [toast]	InstanceOf	breakfast item
PersonX gets [a surprise]. [a surprise]	InstanceOf	surprise
PersonX gets [a surprise]. [a surprise]	InstanceOf	shock
PersonX gets [a surprise]. [a surprise]	InstanceOf	basic emotion
PersonX gets [a surprise]. [a surprise]	InstanceOf	emotion
PersonX gets [a surprise]. [a surprise]	InstanceOf	scare
PersonX gets [a surprise]. [a surprise]	InstanceOf	startle
PersonX gets [a surprise]. [a surprise]	InstanceOf	experience
PersonX gets [a surprise]. [a surprise]	InstanceOf	strong feeling
PersonX gets [a surprise]. [a surprise]	InstanceOf	positive emotion
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	mental state
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	feeling
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	positive emotion
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	love
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	affective state
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	candy
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	sweets
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	fulfillment
[PersonX loves sweets]. [PersonX loves sweets]	InstanceOf	enjoyment
[PersonX describes PersonX's experience]. [PersonX describes PersonX's experience]	InstanceOf	report
[PersonX describes PersonX's experience]. [PersonX describes PersonX's experience]	InstanceOf	information
[PersonX describes PersonX's experience]. [PersonX describes PersonX's experience]	InstanceOf	description
[PersonX describes PersonX's experience]. [PersonX describes PersonX's experience]	InstanceOf	share
[PersonX describes PersonX's experience]. [PersonX describes PersonX's experience]	InstanceOf	action
[PersonX describes PersonX's experience]. [PersonX describes PersonX's experience]	InstanceOf	communication
[PersonX gets work]. [PersonX gets work]	InstanceOf	job
[PersonX gets work]. [PersonX gets work]	InstanceOf	working
[PersonX gets work]. [PersonX gets work]	InstanceOf	responsibility
[PersonX gets work]. [PersonX gets work]	InstanceOf	work
[PersonX gets work]. [PersonX gets work]	InstanceOf	profession
[PersonX gets work]. [PersonX gets work]	InstanceOf	position
[PersonX gets work]. [PersonX gets work]	InstanceOf	employment
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	physical touch
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	hold
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	simple affection
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	greeting
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	physical contact
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	physical aspect of intimacy
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	embrace
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	affection
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	close contact
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	connection
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	type of physical behavior
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	action
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	hugging
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	behavior
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	hug
[PersonX takes PersonY in PersonY's arms]. [PersonX takes PersonY in PersonY's arms]	InstanceOf	intimate contact
[PersonX finally got back]. [PersonX finally got back]	InstanceOf	coming home
[PersonX finally got back]. [PersonX finally got back]	InstanceOf	arrival
[PersonX finally got back]. [PersonX finally got back]	InstanceOf	action
[PersonX finally got back]. [PersonX finally got back]	InstanceOf	return
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	refreshment
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	selling
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	sugary drink
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	conducting business activity
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	lemonade
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	service
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	marketing activity
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	beverage
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	drink
[PersonX is selling lemonade]. [PersonX is selling lemonade]	InstanceOf	cool drink
[PersonX seems larger and heavier at that elevation]. [PersonX seems larger and heavier at that elevation]	InstanceOf	size
[PersonX seems larger and heavier at that elevation]. [PersonX seems larger and heavier at that elevation]	InstanceOf	appearance
[PersonX seems larger and heavier at that elevation]. [PersonX seems larger and heavier at that elevation]	InstanceOf	human characteristic
[PersonX seems larger and heavier at that elevation]. [PersonX seems larger and heavier at that elevation]	InstanceOf	measurement
[PersonX seems larger and heavier at that elevation]. [PersonX seems larger and heavier at that elevation]	InstanceOf	physical characteristic
[PersonX seems larger and heavier at that elevation]. [PersonX seems larger and heavier at that elevation]	InstanceOf	look
[PersonX tips PersonY's head back]. [PersonX tips PersonY's head back]	InstanceOf	tipping
[PersonX tips PersonY's head back]. [PersonX tips PersonY's head back]	InstanceOf	action
[PersonX studies as much]. [PersonX studies as much]	InstanceOf	activity
[PersonX studies as much]. [PersonX studies as much]	InstanceOf	study
[PersonX studies as much]. [PersonX studies as much]	InstanceOf	knowledge
[PersonX studies as much]. [PersonX studies as much]	InstanceOf	effort
[PersonX studies as much]. [PersonX studies as much]	InstanceOf	education
[PersonX cracks the eggs]. [PersonX cracks the eggs]	InstanceOf	activity
PersonX sees [what was going on]. [what was going on]	InstanceOf	activity
PersonX sees [what was going on]. [what was going on]	InstanceOf	happening
PersonX sees [what was going on]. [what was going on]	InstanceOf	event
PersonX sees [what was going on]. [what was going on]	InstanceOf	situation
[PersonX reluctantly accepted]. [PersonX reluctantly accepted]	InstanceOf	acceptance
[PersonX reluctantly accepted]. [PersonX reluctantly accepted]	InstanceOf	action
[PersonX conceals PersonY's identity]. [PersonX conceals PersonY's identity]	InstanceOf	disguise
[PersonX conceals PersonY's identity]. [PersonX conceals PersonY's identity]	InstanceOf	concealment
[PersonX conceals PersonY's identity]. [PersonX conceals PersonY's identity]	InstanceOf	form of deception
[PersonX conceals PersonY's identity]. [PersonX conceals PersonY's identity]	InstanceOf	cover
